> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 127.0.0.1 - - [15/Mar/2019 16:25:00] "GET / HTTP/1.1" 302 -
> 127.0.0.1 - - [15/Mar/2019 16:25:00] "GET /monitoring/1 HTTP/1.1" 301 -
> 127.0.0.1 - - [15/Mar/2019 16:25:01] "GET /monitoring/1/ HTTP/1.1" 200 -
> 127.0.0.1 - - [15/Mar/2019 16:25:03] "GET /static/images/loading.gif HTTP/1.1" 200 -
> 127.0.0.1 - - [15/Mar/2019 16:25:03] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 200 -
> 127.0.0.1 - - [15/Mar/2019 16:25:03] "GET /static/css/eyecon-datepicker.css HTTP/1.1" 200 -
> 127.0.0.1 - - [15/Mar/2019 16:25:03] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
> 127.0.0.1 - - [15/Mar/2019 16:25:03] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 -
> 127.0.0.1 - - [15/Mar/2019 16:25:03] "GET /static/js/jquery.js HTTP/1.1" 200 -
> 127.0.0.1 - - [15/Mar/2019 16:25:03] "GET /static/js/eyecon-datepicker.js HTTP/1.1" 200 -
> 127.0.0.1 - - [15/Mar/2019 16:25:03] "GET /static/img/glyphicons-halflings.png HTTP/1.1" 200 -
> 127.0.0.1 - - [15/Mar/2019 16:25:04] "GET /static/images/bar.png HTTP/1.1" 200 -
> 127.0.0.1 - - [15/Mar/2019 16:25:04] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [15/Mar/2019 16:25:09] "GET /records/1 HTTP/1.1" 200 -
> 192.168.137.54 - - [15/Mar/2019 16:25:12] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.54 - - [15/Mar/2019 16:25:12] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.54 - - [15/Mar/2019 16:25:12] "POST /api/db/ HTTP/1.1" 200 -
> 127.0.0.1 - - [15/Mar/2019 16:25:13] "GET /case/7/ HTTP/1.1" 200 -
> 127.0.0.1 - - [15/Mar/2019 16:25:13] "GET /thumb/pic/29 HTTP/1.1" 301 -
> 127.0.0.1 - - [15/Mar/2019 16:25:15] "GET /thumb/pic/29/ HTTP/1.1" 200 -
> 127.0.0.1 - - [15/Mar/2019 16:26:18] "POST /case/7/ HTTP/1.1" 200 -
> 192.168.137.54 - - [15/Mar/2019 16:26:32] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.54 - - [15/Mar/2019 16:26:32] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.54 - - [15/Mar/2019 16:26:32] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.54 - - [15/Mar/2019 16:26:33] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.54 - - [15/Mar/2019 16:26:33] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.54 - - [15/Mar/2019 16:29:59] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.54 - - [15/Mar/2019 16:29:59] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.54 - - [15/Mar/2019 16:29:59] "POST /api/db/ HTTP/1.1" 200 -
