> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 192.168.137.31 - - [13/Mar/2019 10:07:47] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:07:47] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:07:47] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:07:49] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:07:49] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:07:49] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:07:50] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:07:50] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:07:57] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:07:57] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:07:57] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:07:58] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:07:58] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:08:10] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:08:11] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:08:12] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:08:16] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:08:17] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:08:17] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:08:23] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:08:23] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:08:23] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:08:24] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.31 - - [13/Mar/2019 10:08:24] "POST /api/validation/ HTTP/1.1" 200 -
