> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 127.0.0.1 - - [13/Mar/2019 09:15:50] "GET / HTTP/1.1" 302 -
> 127.0.0.1 - - [13/Mar/2019 09:15:51] "GET /monitoring/1 HTTP/1.1" 301 -
> 127.0.0.1 - - [13/Mar/2019 09:15:52] "GET /monitoring/1/ HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:15:56] "GET /static/images/loading.gif HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:15:56] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:15:56] "GET /static/css/eyecon-datepicker.css HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:15:56] "GET /static/js/jquery.js HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:15:57] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:15:57] "GET /static/js/eyecon-datepicker.js HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:15:57] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:15:57] "GET /static/img/glyphicons-halflings.png HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:02] "GET /static/images/bar.png HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:02] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:08] "GET /static/img/glyphicons-halflings-white.png HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:10] "GET /admin/ HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:11] "GET /static/admin/css/bootstrap2/admin.css HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:11] "GET /static/bootstrap/bootstrap2/css/bootstrap-responsive.css HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:11] "GET /static/bootstrap/bootstrap2/js/bootstrap.min.js HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:11] "GET /static/bootstrap/bootstrap2/css/bootstrap.css HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:12] "GET /static/vendor/moment-2.8.4.min.js HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:12] "GET /static/vendor/select2/select2.min.js HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:12] "GET /static/vendor/jquery-2.1.1.min.js HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:13] "GET /favicon.ico HTTP/1.1" 404 -
> 127.0.0.1 - - [13/Mar/2019 09:16:17] "GET /admin/usertype/ HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:17] "GET /static/admin/js/filters-1.0.0.js HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:17] "GET /static/vendor/select2/select2.css HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:17] "GET /static/admin/js/actions-1.0.0.js HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:17] "GET /static/vendor/bootstrap-daterangepicker/daterangepicker.js HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:17] "GET /static/admin/js/form-1.0.0.js HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:18] "GET /static/vendor/bootstrap-daterangepicker/daterangepicker-bs2.css HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:18] "GET /static/bootstrap/bootstrap2/img/glyphicons-halflings.png HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:25] "GET /admin/user/ HTTP/1.1" 200 -
> 127.0.0.1 - - [13/Mar/2019 09:16:29] "GET /admin/user/edit/?url=%2Fadmin%2Fuser%2F&id=1 HTTP/1.1" 200 -
