> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 192.168.137.224 - - [24/Feb/2019 22:53:47] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 22:53:47] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 22:53:47] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 22:54:04] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 22:54:04] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 22:54:06] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 22:54:06] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 22:54:06] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:03:52] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:03:52] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:03:52] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:05:37] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:05:37] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:05:37] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:05:40] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:05:40] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:10:10] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:10:10] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:10:10] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:13:12] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:13:12] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:13:12] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:16:35] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:16:35] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:16:36] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:18:24] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:18:25] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:18:25] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:18:26] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:18:26] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:18:40] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:18:40] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:18:40] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:22:37] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:22:37] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:22:37] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:22:38] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:22:38] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:22:40] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:22:40] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:22:40] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:22:53] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:22:53] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:22:53] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:22:53] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:22:53] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:23:58] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:23:58] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:23:58] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:24:10] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:24:10] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:24:14] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:24:14] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:24:15] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.224 - - [24/Feb/2019 23:24:25] "POST /api/validation/ HTTP/1.1" 200 -
