> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 192.168.137.192 - - [04/Mar/2019 10:31:34] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 10:50:44] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 10:50:44] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 10:50:44] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 10:51:06] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 10:51:06] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 10:51:06] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 10:51:10] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 10:51:10] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 10:51:10] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 10:51:27] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 10:51:27] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 10:51:27] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 10:55:42] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 10:55:42] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 11:07:32] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 11:07:32] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 11:07:32] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 11:08:30] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 11:08:30] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 11:08:30] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 11:08:48] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 11:08:48] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 11:10:50] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 11:10:50] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 11:10:51] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 11:11:30] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 11:11:30] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 11:11:35] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.192 - - [04/Mar/2019 11:11:35] "POST /api/validation/ HTTP/1.1" 200 -
