> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 192.168.137.49 - - [25/Feb/2019 21:12:55] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:09] "POST /api/init/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:10] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:10] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:13] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:13] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:13] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:14] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:14] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:14] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:15] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:15] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:15] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:16] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:16] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:16] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:17] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:17] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:18] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:18] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:18] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:19] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:19] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:20] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:20] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:20] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:21] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:21] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:22] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:22] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:23] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:24] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:24] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:24] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:24] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:25] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:25] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:25] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:25] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:26] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:26] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:26] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:27] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:27] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:27] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:28] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:28] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:28] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:29] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:29] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:29] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:30] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:30] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:31] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:31] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:31] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:31] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:31] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:32] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:32] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:33] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:33] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:34] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:34] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:35] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:35] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:35] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:36] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:37] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:38] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:38] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:39] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:39] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:40] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:41] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:41] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:41] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:42] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:43] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:43] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:43] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:44] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:45] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:45] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:46] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:46] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:47] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:47] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:47] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:48] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:48] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:49] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:16:50] "POST /api/chunk/ HTTP/1.1" 200 -
