> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 192.168.137.27 - - [08/Mar/2019 00:27:12] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:27:12] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:27:12] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:44:12] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:44:13] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:44:13] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:44:57] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:44:57] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:47:49] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:47:49] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:47:49] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:47:50] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:47:50] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:50:59] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:51:00] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:51:00] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:51:01] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 00:51:01] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:06:54] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:06:54] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:06:54] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:06:55] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:06:55] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:07:15] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:07:15] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:07:15] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:07:18] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:07:18] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:07:18] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:07:25] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:07:25] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:07:25] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:09:03] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:09:03] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:09:03] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:09:04] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:09:04] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:10:59] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:10:59] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:10:59] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:11:26] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:11:26] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:11:26] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:11:43] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:11:43] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:11:43] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:11:55] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:11:55] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:11:55] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:11:56] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:11:56] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:12:51] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:12:51] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:12:51] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:12:52] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:12:52] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:13:06] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:13:06] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:13:06] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:14:36] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:14:36] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:14:36] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:14:38] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:14:38] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:15:40] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:15:40] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.27 - - [08/Mar/2019 01:15:40] "POST /api/db/ HTTP/1.1" 200 -
