> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 192.168.137.220 - - [17/Mar/2019 20:59:40] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.220 - - [17/Mar/2019 20:59:40] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.220 - - [17/Mar/2019 20:59:40] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.220 - - [17/Mar/2019 20:59:41] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.220 - - [17/Mar/2019 20:59:41] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.220 - - [17/Mar/2019 20:59:41] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.220 - - [17/Mar/2019 20:59:46] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.220 - - [17/Mar/2019 20:59:46] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.220 - - [17/Mar/2019 20:59:46] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.220 - - [17/Mar/2019 20:59:47] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.220 - - [17/Mar/2019 20:59:47] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.220 - - [17/Mar/2019 20:59:51] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.220 - - [17/Mar/2019 20:59:51] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.220 - - [17/Mar/2019 20:59:51] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.220 - - [17/Mar/2019 20:59:52] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.220 - - [17/Mar/2019 20:59:52] "POST /api/validation/ HTTP/1.1" 200 -
>  * Detected change in 'C:\\Users\\gherz-PC\\Desktop\\remidiv2\\serveus\\views.py', reloading
