> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 192.168.137.218 - - [17/Mar/2019 11:31:04] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:31:04] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:31:04] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:32:02] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:32:02] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:32:02] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:32:02] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:32:02] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:33:51] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:33:51] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:33:51] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:33:52] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:33:52] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:35:13] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:35:13] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:35:13] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:35:14] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:35:15] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:35:36] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:35:36] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:35:36] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:36:46] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:36:46] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.218 - - [17/Mar/2019 11:36:46] "POST /api/db/ HTTP/1.1" 200 -
