> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 127.0.0.1 - - [17/Mar/2019 16:30:03] "GET /case/5/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:30:03] "GET /pic/26/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:30:03] "GET /pic/27/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:30:05] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:30:16] "GET /case/5/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:30:16] "GET /pic/26/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:30:16] "GET /pic/27/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:30:17] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:30:23] "GET /case/5/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:30:23] "GET /pic/26/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:30:24] "GET /pic/27/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:30:24] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:30:42] "GET /case/5/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:30:42] "GET /pic/27/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:30:42] "GET /pic/26/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:30:43] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:31:31] "GET /case/5/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:31:32] "GET /pic/27/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:31:32] "GET /pic/26/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:31:33] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:33:29] "GET /case/5/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:33:29] "GET /pic/27/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:33:29] "GET /pic/26/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:33:30] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:33:39] "GET /case/5/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:33:39] "GET /pic/26/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:33:39] "GET /pic/27/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:33:40] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:33:52] "GET /case/5/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:33:53] "GET /pic/27/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:33:53] "GET /pic/26/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:33:54] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:34:12] "GET /case/5/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:34:12] "GET /pic/26/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:34:13] "GET /pic/27/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:34:13] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:34:26] "GET /case/5/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:34:27] "GET /pic/27/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:34:27] "GET /pic/26/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:34:28] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:34:36] "GET /case/5/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:34:36] "GET /pic/26/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:34:36] "GET /pic/27/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:34:37] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:34:52] "GET /case/5/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:34:53] "GET /pic/26/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:34:53] "GET /pic/27/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:34:53] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:35:01] "GET /case/5/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:35:01] "GET /pic/26/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:35:01] "GET /pic/27/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:35:02] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:35:15] "GET /case/5/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:35:15] "GET /pic/27/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:35:15] "GET /pic/26/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 16:35:16] "GET /static/favicon.ico HTTP/1.1" 200 -
