> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 192.168.137.185 - - [17/Mar/2019 15:44:40] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.185 - - [17/Mar/2019 15:44:40] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.185 - - [17/Mar/2019 15:44:45] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.185 - - [17/Mar/2019 15:44:45] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.185 - - [17/Mar/2019 15:44:45] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.185 - - [17/Mar/2019 15:44:45] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.185 - - [17/Mar/2019 15:44:45] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.185 - - [17/Mar/2019 15:44:45] "POST /api/db/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:45:08] "GET / HTTP/1.1" 302 -
> 127.0.0.1 - - [17/Mar/2019 15:45:09] "GET /monitoring/1 HTTP/1.1" 301 -
> 127.0.0.1 - - [17/Mar/2019 15:45:09] "GET /monitoring/1/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:45:11] "GET /static/images/loading.gif HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:45:11] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:45:11] "GET /static/css/eyecon-datepicker.css HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:45:11] "GET /static/css/bootstrap.min.css HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:45:11] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:45:11] "GET /static/js/jquery.js HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:45:12] "GET /static/img/glyphicons-halflings.png HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:45:12] "GET /static/js/eyecon-datepicker.js HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:45:12] "GET /static/images/bar.png HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:45:12] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:45:18] "GET /map/1 HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:45:18] "GET /static/js/markerwithlabel.js HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:45:21] "GET /records/1 HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:45:27] "GET /case/7/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:45:27] "GET /thumb/pic/29 HTTP/1.1" 301 -
> 127.0.0.1 - - [17/Mar/2019 15:45:30] "GET /thumb/pic/29/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:08] "GET /records/1 HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:12] "GET /case/2/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:13] "GET /thumb/pic/9 HTTP/1.1" 301 -
> 127.0.0.1 - - [17/Mar/2019 15:47:13] "GET /thumb/pic/11 HTTP/1.1" 301 -
> 127.0.0.1 - - [17/Mar/2019 15:47:13] "GET /thumb/pic/10 HTTP/1.1" 301 -
> 127.0.0.1 - - [17/Mar/2019 15:47:13] "GET /thumb/pic/11/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:13] "GET /thumb/pic/9/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:13] "GET /thumb/pic/10/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:14] "GET /case/5/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:14] "GET /case/4/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:14] "GET /thumb/pic/13 HTTP/1.1" 301 -
> 127.0.0.1 - - [17/Mar/2019 15:47:14] "GET /thumb/pic/12 HTTP/1.1" 301 -
> 127.0.0.1 - - [17/Mar/2019 15:47:14] "GET /thumb/pic/14 HTTP/1.1" 301 -
> 127.0.0.1 - - [17/Mar/2019 15:47:14] "GET /thumb/pic/13/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:14] "GET /thumb/pic/14/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:14] "GET /thumb/pic/12/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:15] "GET /thumb/pic/15 HTTP/1.1" 301 -
> 127.0.0.1 - - [17/Mar/2019 15:47:15] "GET /thumb/pic/16 HTTP/1.1" 301 -
> 127.0.0.1 - - [17/Mar/2019 15:47:15] "GET /thumb/pic/26 HTTP/1.1" 301 -
> 127.0.0.1 - - [17/Mar/2019 15:47:15] "GET /thumb/pic/15/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:15] "GET /thumb/pic/16/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:15] "GET /thumb/pic/27 HTTP/1.1" 301 -
> 127.0.0.1 - - [17/Mar/2019 15:47:15] "GET /thumb/pic/25 HTTP/1.1" 301 -
> 127.0.0.1 - - [17/Mar/2019 15:47:16] "GET /thumb/pic/26/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:16] "GET /thumb/pic/27/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:17] "GET /thumb/pic/25/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:18] "GET /records/2 HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:37] "GET /case/6/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:47:37] "GET /thumb/pic/28 HTTP/1.1" 301 -
> 127.0.0.1 - - [17/Mar/2019 15:47:38] "GET /thumb/pic/28/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:51:22] "GET /case/6/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:51:23] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:51:26] "GET /pic/28 HTTP/1.1" 301 -
> 127.0.0.1 - - [17/Mar/2019 15:51:26] "GET /pic/28/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:51:27] "GET /favicon.ico HTTP/1.1" 404 -
> 127.0.0.1 - - [17/Mar/2019 15:51:30] "GET /pic/28/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:51:33] "GET /pic/28/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:51:55] "GET /case/6/ HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:51:56] "GET /static/favicon.ico HTTP/1.1" 200 -
> 127.0.0.1 - - [17/Mar/2019 15:52:01] "GET /case/5/ HTTP/1.1" 200 -
